Seidel	Frankreich und die deutschen Protestanten. Die Bemühungen um eine religiöse Konkordie und die französische Bündnispolitik in den Jahren 1534/35		Karl Josef Seidel, Frankreich und die deutschen Protestanten. Die Bemühungen um eine religiöse Konkordie und die französische Bündnispolitik in den Jahren 1534/35, Münster 1970 - Reformationsgeschichtliche Studien und Texte 102. RGST 102
Senn (Senn, Wick)	Johann Jakob Wick (1522-1588) und seine Sammlung von Nachrichten zur Zeitgeschichte		Matthias Ludwig Senn, Johann Jakob Wick (1522-1588) und seine Sammlung von Nachrichten zur Zeitgeschichte, Diss. phil. I, Zürich 1973 - Mitteilungen der Antiquarischen Gesellschaft in Zürich 46/2, Zürich 1974.
Sigel	Das evangelische Württemberg		Christian Sigel, Das evangelische Württemberg, II. Hauptteil: Generalmagisterbuch. Mitteilungen aus dem Leben der evangelischen Geistlichen von der Reformation bis auf die Gegenwart. Ein Nachschlagewerk in alphabetischer Ordnung. (Typoskript im Landeskirchlichen Archiv Stuttgart).
Simler	Sammlung alter und neuer Urkunden zur Beleuchtung der Kirchen-Geschichte		Johann Jacob Simler, Sammlung alter und neuer Urkunden zur Beleuchtung der Kirchen-Geschichte, vornehmlich des Schweizerlandes, 2 Bde., Zürich 1767.
Simmet	Die Versöhnung der freien Reichsstadt Augsburg mit Kaiser Karl V		Ludwig Simmet, Die Versöhnung der freien Reichsstadt Augsburg mit Kaiser Karl V. 1547, Augsburg [1888] - Jahresbericht über die Königliche Kreis-Realschule in Augsburg.
Sinapius (Flood/Shaw)	Johannes Sinapius (1505-1560). Hellenist and Physician in Germany and Italy		John L. Flood und David J. Shaw, Johannes Sinapius (1505-1560). Hellenist and Physician in Germany and Italy, Genf 1997 - THR 311.
Sleidan BW	Sleidans Briefwechsel		Sleidans Briefwechsel, hg. v. Hermann Baumgarten, Straßburg 1881.
Solothurn (Amiet/Sigrist)	Solothurnische Geschichte		Bruno Amiet und Hans Sigrist, Solothurnische Geschichte, Bd. 2: Stadt und Kanton Solothurn von der Reformation bis zum Höhepunkt des patrizischen Regimes, Solothurn 1976.
Sommervogel	Bibliothèque de la Compagnie de Jésus		Bibliothèque de la Compagnie de Jésus. Première partie: Bibliographie, bearb. v. Carlos Sommervogel, Augustin und Aloys de Backer, Auguste Carayon und Ernest-Marie Rivière, 11 Bde., Brüssel/Paris 1890-1930 (Bd. XI beinhaltet Ergänzungen).
Spahn	Johannes Cochläus. Ein Lebensbild aus der Zeit der Kirchenspaltung		Martin Spahn, Johannes Cochläus. Ein Lebensbild aus der Zeit der Kirchenspaltung, Berlin 1898 (Nachdruck: Nieuwkoop 1964).
Spehr	Luther und das Konzil. Zur Entwicklung eines zentralen Themas in der Reformationszeit		Christopher Spehr, Luther und das Konzil. Zur Entwicklung eines zentralen Themas in der Reformationszeit, Tübingen 2010 - Beiträge zur historischen Theologie 153.
StDTh	Studien zur Dogmengeschichte und systematischen Theologie		Studien zur Dogmengeschichte und systematischen Theologie, Zürich 1952ff.
Staedtke	Die Theologie des jungen Bullinger		Joachim Staedkte, Die Theologie des jungen Bullinger, Zürich 1962 – Studien zur Dogmengeschichte und systematischen Theologie 16. StDTh XVI
Staedtke, Zug	Heinrich Bullingers Bemühungen um die Reformation im Kanton Zug		Joachim Staedtke, Heinrich Bullingers Bemühungen um die Reformation im Kanton Zug, in: Zwa X 24-47.
Staehelin	Das theologische Lebenswerk Oekolampads		Ernst Staehelin, Das theologische Lebenswerk Oekolampads, Leipzig 1939. - QFRG XXI.
Staehelin, Ehescheidung	Die Einführung der Ehescheidung in Basel zur Zeit der Reformation		Adrian Staehlin, Die Einführung der Ehescheidung in Basel zur Zeit der Reformation, Basel 1957 - Basler Studien zur Rechtswissenschaft 45.
Staerkle, St. Gallen (Staerkle)	Beiträge zur spätmittelalterlichen Bildungsgeschichte St. Gallens		Paul Staerkle, Beiträge zur spätmittelalterlichen Bildungsgeschichte St. Gallens, St. Gallen 1939 - MVG 40.
Stanislaus Ostrorog: Ein Schutzherr der grosspolnischen evangelischen Kirche	Zeitschrift der Historischen Gesellschaft für die Provinz Posen		Prümers, Rodgero (1907) "Stanislaus Ostrorog: Ein Schutzherr der grosspolnischen evangelischen Kirche", Posen 1907. 132 S.
Steinmann (Steinmann, Oporinus)	Johannes Oporinus. Ein Basler Buchdrucker um die Mitte des 16. Jahrhunderts		Martin Steinmann, Johannes Oporinus. Ein Basler Buchdrucker um die Mitte des 16. Jahrhunderts, Basel 1967 - Basler Beiträge zur Geschichtswissenschaft 105.
Storkebaum, Oldenburg	Graf Christoph von Oldenburg (1504-1566). Ein Lebensbild im Rahmen der Reformationsgeschichte		Werner Storkebaum, Graf Christoph von Oldenburg (1504-1566). Ein Lebensbild im Rahmen der Reformationsgeschichte, Oldenburg 1959.
Stotz	Handbuch zur lateinischen Sprache des Mittelalters		Peter Stotz, Handbuch zur lateinischen Sprache des Mittelalters, Bd. 1: Einleitung, Lexikologische Praxis, Wörter und Sachen, Lehnwortgut, München 2002; Bd. 2: Bedeutungswandel und Wortbildung, München 2000; Bd. 3: Lautlehre, München 1996; Bd. 4: Formenlehre, Syntax und Stilistik, München 1998; Bd. 5: Bibliographie, Quellenübersicht und Register, München 2004.
Straßer (Strasser)	Capitos Beziehungen zu Bern		Otto Erich Straßer, Capitos Beziehungen zu Bern, Leipzig 1928 - Quellen und Abhandlungen zur Schweizerischen Reformationsgeschichte 4 und 7. QASRG IV
Strieder	Grundlage zu einer hessischen Gelehrten- und Schriftsteller-Geschichte seit der Reformation bis auf gegenwärtige Zeiten		Friedrich Wilhelm Strieder, Grundlage zu einer hessischen Gelehrten- und Schriftsteller-Geschichte seit der Reformation bis auf gegenwärtige Zeiten, 21 Bde., Göttingen und (ab Bd. 9) Kassel 1781-1868.
Strohm, A Lasco	Johannes a Lasco (1499-1560). Polnischer Baron, Humanist und europäischer Reformator		Johannes a Lasco (1499-1560). Polnischer Baron, Humanist und europäischer Reformator, hg. v. Christoph Strohm, Tübingen 2000 - Spätmittelalter und Reformation, Neue Reihe 14.
Stucki	Bürgermeister Hans Rudolf Lavater 1492-1557. Ein Politiker der Reformationszeit		Heinzpeter Stucki, Bürgermeister Hans Rudolf Lavater 1492-1557. Ein Politiker der Reformationszeit, Zürich 1973 - ZBRG 3.
Studer Immenhauser	Verwaltung zwischen Innovation und Tradition. Die Stadt Bern und ihr Untertanengebiet 1250-1550		Barbara Katharina Studer Immenhauser, Verwaltung zwischen Innovation und Tradition. Die Stadt Bern und ihr Untertanengebiet 1250-1550, Ostfildern 2006 - Mittelalter-Forschungen 19.
Stumpf, Abendmahl (Stumpf, Abendmahlsstreit)	Beschreibung des Abendmahlsstreites von Johann Stumpf		Beschreibung des Abendmahlsstreites von Johann Stumpf, auf Grund einer unbekannt gebliebenen Handschrift ediert von Fritz Büsser, Zürich 1960 - Veröffentlichungen der Rosa Ritter-Zweifel-Stiftung, Historische Reihe.
Stumpf, Chronik (Stumpf, Reformationschronik)	Johannes Stumpfs Schweizer- und Reformationschronik		Johannes Stumpfs Schweizer- und Reformationschronik, hg. v. Ernst Gagliardi, Hans Müller und Fritz Büsser, 2 Bde., Basel 1952/1955 - Quellen zur Schweizer Geschichte, Neue Folge, Abt. 1: Chroniken, 5f.
Stähelin, Calvin (Stähelin)	Johannes Calvin. Leben und ausgewählte Schriften		Ernst Stähelin, Johannes Calvin. Leben und ausgewählte Schriften, Elberfeld 1863 - Leben und ausgewählte Schriften der Väter und Begründer der reformirten Kirche 4/1.
Stälin	Aufenthaltsorte Kaiser Karls V.		Christoph Friedrich von Stälin, Aufenthaltsorte Kaiser Karls V., in: Forschungen zur Deutschen Geschichte 5, 1865, S. 563-587.
Sulser	Der Stadtschreiber Peter Cyro und die Bernische Kanzlei zur Zeit der Reformation		Mathias Sulser, Der Stadtschreiber Peter Cyro und die Bernische Kanzlei zur Zeit der Reformation, Bern 1922.
THR	Travaux d'Humanisme et Renaissance		Travaux d'Humanisme et Renaissance, Genf 1950ff.
TPMA	Thesaurus proverbiorum medii aevi = Lexikon der Sprichwörter des romanisch-germanischen Mittelalters		Thesaurus proverbiorum medii aevi = Lexikon der Sprichwörter des romanisch-germanischen Mittelalters, hg. v. Kuratorium Singer der Schweizerischen Akademie der Geistes- und Sozialwissenschaften, 13 Bde. und Quellenverzeichnis, Bern 1995-2002.
TRE	Theologische Realenzyklopädie		Theologische Realenzyklopädie, hg. v. Gerhard Krause und Gerhard Müller, 36 Bde., Berlin/New York 1977-2004.
Tardent	Niklaus Manuel als Staatsmann		Jean-Paul Tardent, Niklaus Manuel als Staatsmann, Bern 1967. - AHVB 51, 1967.
Tedeschi, Socinus	Italian Reformation Studies in honor of Laelius Socinus		Italian Reformation Studies in honor of Laelius Socinus, hg. v. John Tedeschi, Florenz 1965.
Tedeschi/Lattis	The Italian Reformation of the Sixteenth Century and the Diffusion of Renaissance Culture: A Bibliography of the Secondary Literature (ca. 1750-1997)		John Tedeschi und James M. Lattis, The Italian Reformation of the Sixteenth Century and the Diffusion of Renaissance Culture: A Bibliography of the Secondary Literature (ca. 1750-1997), Ferrara und Modena 2000.
Territorien des Reichs	Die Territorien des Reichs im Zeitalter der Reformation und Konfessionalisierung. Land und Konfession 1500-1650		Die Territorien des Reichs im Zeitalter der Reformation und Konfessionalisierung. Land und Konfession 1500-1650, hg. von Anton Schindling und Walter Ziegler, 7 Bde., Münster 1989-1997 - Katholisches Leben und Kirchenreform im Zeitalter der Glaubensspaltung. Vereinsschriften der Gesellschaft zur Herausgabe des Corpus Catholicorum, hg. von Klaus Ganzer, 49-53; 56-57.
ThLG	Thesaurus Linguae Graecae		Henricus Stephanus, Thesaurus Linguae Graecae, 8 Bde., Paris 1831-1865
ThLL	Thesaurus linguae Latinae		Thesaurus linguae Latinae, Berlin und (ab 1991) Stuttgart, 1900ff.
ThZ	Theologische Zeitschrift		Theologische Zeitschrift, hg. v. der theologischen Fakultät der Universität Basel, Basel 1945ff.
The Autograph Souvenir	A Collection of Autograph Letters, Interesting Documents&Executed in Facsimile	1	F.G. Netherclift, The Autograph Souvenir, London 1863
Theologenbriefwechsel im Südwesten des Reichs in der Frühen Neuzeit (1550-1620).	Theologenbriefwechsel im Südwesten des Reichs in der Frühen Neuzeit (1550-1620).	96	Theologenbriefwechsel im Südwesten des Reichs in der Frühen Neuzeit (1550-1620).
