,letter_id,edition,sent_count,cont_footnote_count,ed_footnote_count,footnotes_per_sentence
346,10369,04,31,19,6,0.6129032258064516
347,10370,04,46,35,2,0.7608695652173914
348,10371,04,14,11,0,0.7857142857142857
349,10372,04,38,46,4,1.2105263157894737
350,10373,04,37,20,1,0.5405405405405406
351,10374,04,13,11,0,0.8461538461538461
352,10375,04,13,5,1,0.38461538461538464
353,10376,04,21,20,0,0.9523809523809523
354,10377,04,33,34,1,1.0303030303030303
355,10378,04,42,60,4,1.4285714285714286
356,10379,04,30,13,0,0.43333333333333335
357,10380,04,25,21,3,0.84
358,10381,04,24,14,1,0.5833333333333334
359,10382,04,16,10,1,0.625
360,10383,04,20,9,0,0.45
361,10384,04,46,34,3,0.7391304347826086
362,10385,04,52,12,1,0.23076923076923078
363,10386,04,17,6,0,0.35294117647058826
364,10387,04,24,15,0,0.625
365,10388,04,35,21,3,0.6
366,10389,04,30,34,0,1.1333333333333333
367,10390,04,16,10,2,0.625
368,10391,04,41,33,19,0.8048780487804879
369,10392,04,16,13,1,0.8125
370,10393,04,55,14,0,0.2545454545454545
371,10394,04,14,31,0,2.2142857142857144
372,10395,04,35,45,3,1.2857142857142858
373,10396,04,11,5,1,0.45454545454545453
374,10397,04,19,7,1,0.3684210526315789
375,10398,04,9,11,0,1.2222222222222223
376,10399,04,18,9,1,0.5
377,10400,04,9,15,20,1.6666666666666667
378,10401,04,14,22,5,1.5714285714285714
379,10402,04,73,61,11,0.8356164383561644
380,10403,04,42,116,44,2.761904761904762
381,10404,10,45,20,3,0.4444444444444444
382,10405,04,14,20,0,1.4285714285714286
383,10406,04,23,10,1,0.43478260869565216
384,10407,04,23,13,0,0.5652173913043478
385,10408,04,33,27,1,0.8181818181818182
386,10409,04,32,27,2,0.84375
387,10410,10,13,15,2,1.1538461538461537
388,10411,04,40,25,2,0.625
389,10412,04,19,17,4,0.8947368421052632
390,10413,04,13,7,1,0.5384615384615384
391,10414,04,21,21,0,1.0
392,10415,04,30,32,5,1.0666666666666667
393,10416,04,24,38,6,1.5833333333333333
394,10417,04,14,3,0,0.21428571428571427
395,10418,04,29,37,0,1.2758620689655173
396,10419,04,18,12,0,0.6666666666666666
397,10420,04,18,9,0,0.5
398,10421,04,34,18,1,0.5294117647058824
399,10422,04,24,40,0,1.6666666666666667
400,10423,10,5,6,2,1.2
401,10424,04,19,7,1,0.3684210526315789
402,10425,04,16,18,1,1.125
403,10426,04,16,5,1,0.3125
404,10427,04,9,13,0,1.4444444444444444
405,10428,04,33,10,7,0.30303030303030304
406,10429,04,27,6,3,0.2222222222222222
407,10430,04,36,20,2,0.5555555555555556
408,10431,04,24,16,0,0.6666666666666666
409,10432,04,15,33,1,2.2
410,10433,04,14,7,1,0.5
411,10434,04,10,3,0,0.3
412,10435,04,27,29,0,1.0740740740740742
413,10436,04,19,14,0,0.7368421052631579
414,10437,04,16,36,1,2.25
415,10438,04,13,10,0,0.7692307692307693
416,10439,04,26,46,0,1.7692307692307692
